KOI_00005 1.138e+00 4.7803e+00 1.06e-04 1.138e+00 7.0519e+00 1.28e-06
KOI_00041 1.100e+00 6.8871e+00 4.60e-06 1.100e+00 1.2816e+01 1.36e-05 1.100e+00 3.5333e+01 6.01e-06
KOI_00046 1.107e+00 3.4877e+00 6.12e-05 1.107e+00 6.0291e+00 2.76e-06
KOI_00070 9.071e-01 3.6961e+00 1.15e-05 9.071e-01 6.0985e+00 2.47e-06 9.071e-01 1.0854e+01 3.07e-05 9.071e-01 1.9578e+01 3.13e-06 9.071e-01 7.7612e+01 2.47e-05
KOI_00072 8.942e-01 8.3749e-01 5.83e-06 8.942e-01 4.5294e+01 1.51e-05
KOI_00082 8.126e-01 5.2870e+00 7.81e-07 8.126e-01 7.0713e+00 1.44e-06 8.126e-01 1.0312e+01 5.08e-06 8.126e-01 1.6146e+01 1.90e-05 8.126e-01 2.7454e+01 3.19e-06
KOI_00085 1.202e+00 2.1549e+00 4.91e-06 1.202e+00 5.8599e+00 1.75e-05 1.202e+00 8.1311e+00 6.10e-06
KOI_00089 1.956e+00 8.4689e+01 7.83e-05 1.956e+00 2.0760e+02 1.41e-04
KOI_00094 1.197e+00 3.7432e+00 6.10e-06 1.197e+00 1.0424e+01 3.81e-05 1.197e+00 2.2343e+01 2.94e-04 1.197e+00 5.4320e+01 9.99e-05
KOI_00108 1.140e+00 1.5965e+01 2.77e-05 1.140e+00 1.7960e+02 6.51e-05
KOI_00111 8.098e-01 1.1428e+01 1.44e-05 8.098e-01 2.3668e+01 1.32e-05 8.098e-01 5.1756e+01 1.76e-05
KOI_00112 1.030e+00 3.7092e+00 4.37e-06 1.030e+00 5.1079e+01 2.62e-05
KOI_00115 1.120e+00 3.4358e+00 1.16e-06 1.120e+00 5.4122e+00 3.58e-05 1.120e+00 7.1260e+00 1.10e-05
KOI_00116 1.013e+00 6.1649e+00 2.25e-06 1.013e+00 1.3571e+01 2.12e-05 1.013e+00 4.3844e+01 2.29e-05
KOI_00117 1.189e+00 3.1800e+00 7.71e-06 1.189e+00 4.9015e+00 8.96e-06 1.189e+00 7.9579e+00 3.45e-06 1.189e+00 1.4749e+01 2.75e-05
KOI_00119 8.690e-01 4.9184e+01 4.60e-05 8.690e-01 1.9031e+02 3.51e-05
KOI_00123 1.052e+00 6.4817e+00 2.22e-05 1.052e+00 2.1223e+01 2.34e-05
KOI_00124 1.068e+00 1.2691e+01 2.89e-05 1.068e+00 3.1720e+01 4.16e-05
KOI_00137 9.416e-01 3.5048e+00 1.03e-05 9.416e-01 7.6416e+00 7.44e-05 9.416e-01 1.4859e+01 1.20e-04
KOI_00139 1.176e+00 3.3418e+00 6.83e-06 1.176e+00 2.2480e+02 1.82e-04
KOI_00148 8.917e-01 4.7780e+00 1.44e-05 8.917e-01 9.6739e+00 3.17e-05 8.917e-01 4.2896e+01 1.75e-05
KOI_00150 7.770e-01 8.4089e+00 2.20e-05 7.770e-01 2.8574e+01 2.38e-05
KOI_00152 1.078e+00 1.3484e+01 2.13e-05 1.078e+00 2.7403e+01 2.45e-05 1.078e+00 5.2091e+01 9.54e-05
KOI_00153 7.570e-01 4.7540e+00 1.34e-05 7.570e-01 8.9251e+00 1.93e-05
KOI_00156 7.035e-01 5.1885e+00 4.22e-06 7.035e-01 8.0413e+00 7.91e-06 7.035e-01 1.1776e+01 2.03e-05
KOI_00157 9.818e-01 1.0304e+01 1.11e-05 9.818e-01 1.3025e+01 2.73e-05 9.818e-01 2.2687e+01 3.30e-05 9.818e-01 3.1996e+01 6.27e-05 9.818e-01 4.6687e+01 2.15e-05 9.818e-01 1.1836e+02 3.81e-05
KOI_00159 1.001e+00 2.4037e+00 5.16e-06 1.001e+00 8.9909e+00 2.32e-05
KOI_00168 1.006e+00 7.1069e+00 1.40e-05 1.006e+00 1.0742e+01 4.93e-05 1.006e+00 1.5274e+01 2.18e-05
KOI_00171 1.148e+00 5.9687e+00 2.27e-05 1.148e+00 1.3072e+01 1.34e-05
KOI_00191 8.715e-01 7.0860e-01 4.37e-06 8.715e-01 2.4184e+00 1.60e-05 8.715e-01 1.5359e+01 3.94e-04 8.715e-01 3.8652e+01 1.55e-05
KOI_00209 1.144e+00 1.8796e+01 9.84e-05 1.144e+00 5.0791e+01 2.34e-04
KOI_00216 8.677e-01 7.5187e+00 6.83e-06 8.677e-01 2.0172e+01 1.73e-04
KOI_00220 8.845e-01 2.4221e+00 4.06e-05 8.845e-01 4.1250e+00 2.15e-06
KOI_00222 5.495e-01 6.3125e+00 1.29e-05 5.495e-01 1.2795e+01 8.53e-06
KOI_00223 7.304e-01 3.1774e+00 2.02e-05 7.304e-01 4.1008e+01 1.63e-05
